x,diffUB,diffLB,diffM
0.0857951950063609,-2.4792504255923474e-05,2.2458825033394437e-05,-1.1668396112645197e-06
0.09119526082819157,-3.697829057224881e-05,3.371495314219857e-05,-1.631668715025114e-06
0.09659532665002224,-5.335119457032454e-05,4.897524495877483e-05,-2.187974805774853e-06
0.10199539247185296,-7.425371672119018e-05,6.86295567567722e-05,-2.8120799822089852e-06
0.10739545829368358,-0.00010017358885657089,9.32199251937986e-05,-3.4768318313861376e-06
0.1127955241155143,-0.00013228897782193106,0.00012400723571522634,-4.140871053352363e-06
0.11819558993734491,-0.0001708400708966612,0.0001613386431492168,-4.750713873722209e-06
0.12359565575917564,-0.00021577919375883082,0.00020531193397215573,-5.2336298933375275e-06
0.12899572158100625,-0.0002685664334886193,0.0002576652352033935,-5.450599142612907e-06
0.13439578740283697,-0.0003284057216166015,0.0003177590729447998,-5.323324335900863e-06
0.13979585322466764,-0.000395454775878883,0.0003860275400487807,-4.7136179150511396e-06
0.1451959190464983,-0.0004698010922643538,0.00046288221213262366,-3.459440065865049e-06
0.15059598486832898,-0.0005513806866401184,0.0005487251315854628,-1.3277775273278571e-06
0.15599605069015965,-0.0006400334486520226,0.0006437771935514504,1.8718724497138672e-06
0.16139611651199032,-0.000735341919657202,0.000748381239537324,6.519659940061053e-06
0.16679618233382099,-0.0008368552735604906,0.0008626489753863685,1.2896850912938907e-05
0.1721962481556517,-0.0009479397054549978,0.0009917193229753301,2.1889808760166205e-05
0.17759631397748232,-0.0010990522536100257,0.0011736309001405755,3.728932326527491e-05
0.18299637979931305,-0.0011081632622212871,0.001554268262060766,8.044254477851348e-05
0.18839644562114366,-0.0011081632622041485,0.003140887921507899,0.0004781768652912398
0.19379651144297438,-0.0030609647090367835,-0.02106795298324895,-0.012069277190926667
0.19919657726480505,-0.007527036634287384,-0.013816244849478965,-0.010671640741883176
0.20459664308663572,-0.00338794767081713,-0.004289037577234436,-0.0038384926240257813
0.2099967089084664,0.00033527262284548456,1.3170597665965178e-05,0.00017422161025572314
0.21539677473029706,0.0030192766024761744,0.002129739365199987,0.002574507983838084
0.22079684055212773,0.0032568575684801884,0.001673964913747883,0.002465411241114039
0.2261969063739584,0.00132113273701618,0.0005757425559145685,0.0009484376464653776
0.23159697219578906,0.0004786851750912535,-1.1294116339682914e-05,0.0002336955293757853
0.23699703801761973,0.00023599433405720877,-0.0003082929037113019,-3.614928482705004e-05
0.2423971038394504,0.0003887442418432155,-0.00043904369637295937,-2.514972726487541e-05
0.24779716966128107,0.0011425896780065461,-0.0005505521943550418,0.0002960187418257487
0.25319723548311174,0.001755246300645226,-0.0009686663245550425,0.00039328998804508825
0.25859730130494246,0.0018978851826033025,-0.0014856931258136197,0.00020609602839484487
0.26399736712677313,0.0014665172666350548,-0.0018496485873842894,-0.00019156566037462075
0.2693974329486038,0.0006227964691611493,-0.001796649121087679,-0.0005869263259632648
0.27479749877043447,-0.00043128632757055696,-0.0014189430998297337,-0.0009251147137001453
0.28019756459226514,-0.0016298730391940755,-0.0009709469997132708,-0.0013004100194536766
0.2855976304140958,-0.002813288628473562,-0.0005434218440678179,-0.00167835523627069
0.2909976962359265,-0.0038239835547864906,-6.906356900915345e-05,-0.0019465235618978255
0.29639776205775714,-0.004585562979721902,0.00047031884079103137,-0.0020576220694654354
0.3017978278795878,-0.00506881827079899,0.0009773267410592146,-0.0020457457648698843
0.3071978937014185,-0.005288444564873776,0.0013932674703586723,-0.0019475885472575519
0.31259795952324915,-0.005253688412143215,0.0017978702927156642,-0.0017279090597137683
0.3179980253450798,-0.0050195489756884384,0.0021798362464623827,-0.0014198563646130313
0.3233980911669105,-0.004673021685782125,0.0025382728588081716,-0.0010673744134869767
0.3287981569887412,-0.0042601936873832985,0.0028968416920078788,-0.0006816759976877029
0.3341982228105719,-0.004507088635137942,0.003436034384817127,-0.0005355271251604038
0.33959828863240255,-0.0041344220493009995,0.0037537601417821365,-0.00019033095375943498
