"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","MassFrac_5","MassFrac_6","MassFrac_7","MassFrac_8","MassFrac_9","MassFrac_10","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
123, 1.968759831926407e-01, 5.541918583547877e-02, 3.309355923369639e-12, 2.170600001823890e-11, 1.365130867607914e-10, 1.501833206810863e-07, 1.275863859753475e-09, 3.059666093697605e-08, 7.177015845787829e-05, 6.654185042487499e-04, 4.832634741895597e-04, 1.848673730224979e-02, 4.070050975044428e-03, 6.940054823704612e+01, 6.417339085763057e+01, 3.538118957583701e+05, 2.754786140841165e+04, 1.391805989508929e-10, 9.128827945138330e-10, 5.741290335630047e-09, 6.316215302566865e-06, 5.365862732572945e-08, 1.286794679603299e-06, 3.018416233330689e-03, 2.798530835572618e-02, 2.032446836975643e-02, 7.774912188215388e-01, 1.711729247576846e-01, 5.373491225701209e+04, 7.603784741728224e+03, 5.395771902958540e+03, 2.918758240218916e+03, 2.698921235156956e+03, 2.227790045025176e+00, 2.412378856191744e+00, 3.333070741852525e+06, -4.344036884609282e+04, 3.682363603087901e+06
124, 1.974899747734663e-01, 5.603268867293071e-02, 4.105268233878143e-12, 2.254925684081776e-11, 1.741521132778653e-10, 1.932111002877704e-07, 1.214180425808009e-09, 3.100970763717856e-08, 7.581871794671690e-05, 7.784417603704526e-04, 5.602757679324886e-04, 1.829430614371080e-02, 3.875425980285368e-03, 6.868791393673091e+01, 6.484129877042442e+01, 3.525473461285416e+05, 2.828143602846748e+04, 1.740664112966189e-10, 9.561051780480049e-10, 7.384178487495167e-09, 8.192293641673308e-06, 5.148214863108847e-08, 1.314834553127826e-06, 3.214769751994554e-03, 3.300650674002446e-02, 2.375610720285041e-02, 7.756921195351907e-01, 1.643209296452464e-01, 5.169265076919966e+04, 7.340953676122081e+03, 5.558259358059087e+03, 2.912418384686885e+03, 2.749319054876322e+03, 2.277875710367128e+00, 2.320023123966019e+00, 5.721169887002019e+06, -7.863985005237586e+05, 1.822466028604878e+06
125, 1.981039663542920e-01, 5.664619151038264e-02, 4.934653311434742e-12, 2.232379729289792e-11, 2.092089420898908e-10, 2.391719508999900e-07, 1.111707185479545e-09, 3.029649400444993e-08, 7.958424009282265e-05, 9.027767849229117e-04, 6.396821123492329e-04, 1.825045943593814e-02, 3.707931575177292e-03, 6.861210854250827e+01, 6.572493673883237e+01, 3.539192889702508e+05, 2.906566750567583e+04, 2.092665727652404e-10, 9.466976210396498e-10, 8.872039338922478e-09, 1.014269722868639e-05, 4.714478159685655e-08, 1.284800180880496e-06, 3.374972894602158e-03, 3.828455452282054e-02, 2.712735320237375e-02, 7.739573292210450e-01, 1.572443054889638e-01, 5.025576348145657e+04, 7.104269526633497e+03, 5.698758786781644e+03, 2.909671642304848e+03, 2.787233750479773e+03, 2.322671008488277e+00, 2.255043796697063e+00, 6.909254487250707e+06, -2.327032527343238e+06, 1.918279728814765e+06
126, 1.987179579351177e-01, 5.725969434783457e-02, 5.733003545669478e-12, 2.111946115240190e-11, 2.364942335164176e-10, 2.842998621305629e-07, 9.835805935261313e-10, 2.871305400000371e-08, 8.233790770505891e-05, 1.027955268109785e-03, 7.161540559237548e-04, 1.824799789979107e-02, 3.551527593227940e-03, 6.885180059959798e+01, 6.645572281389147e+01, 3.558711262879363e+05, 2.967491537283631e+04, 2.426535980624503e-10, 8.938967500973382e-10, 1.000979263777495e-08, 1.203320108300817e-05, 4.163077313702328e-08, 1.215301160894139e-06, 3.485012594603821e-03, 4.350896392563836e-02, 3.031174794374268e-02, 7.723599527799105e-01, 1.503210214767445e-01, 4.908520539821261e+04, 6.893453075658362e+03, 5.805624330630956e+03, 2.914203177353839e+03, 2.812787420097178e+03, 2.363454007965798e+00, 2.202108484771587e+00, 7.182456949721121e+06, -3.233443411044305e+06, 2.429511594870018e+06
127, 1.993319495159453e-01, 5.787319718528838e-02, 6.558299073139799e-12, 2.001562965625633e-11, 2.572074278598025e-10, 3.308139407806971e-07, 8.712416227212781e-10, 2.721391123875733e-08, 8.555371618498707e-05, 1.158058248271498e-03, 7.946017545174175e-04, 1.838956125386448e-02, 3.427798097473242e-03, 6.970697970804170e+01, 6.731018531948098e+01, 3.602731192071285e+05, 3.031228316458157e+04, 2.749127136820971e-10, 8.390210637684339e-10, 1.078169677588036e-08, 1.386715628086627e-05, 3.652096314973813e-08, 1.140760752920153e-06, 3.586265892985968e-03, 4.854382700205759e-02, 3.330835056388443e-02, 7.708590491745736e-01, 1.436874510328710e-01, 4.861934961373491e+04, 6.732392679412536e+03, 5.882260081234908e+03, 2.921997722337193e+03, 2.821528188674741e+03, 2.391912917040637e+00, 2.181041421448020e+00, 7.619304077633747e+06, -3.961149552118202e+06, 2.760111597477340e+06
128, 1.999459410967732e-01, 5.848670002274249e-02, 7.362657923493224e-12, 1.878144815406458e-11, 2.717336417420284e-10, 3.763004321935459e-07, 7.684020135000268e-10, 2.559435266436502e-08, 8.848664808979450e-05, 1.286934160084616e-03, 8.713188647023006e-04, 1.856559119772470e-02, 3.315091047999911e-03, 7.067106153660421e+01, 6.822924423561126e+01, 3.651928302055314e+05, 3.083139940078486e+04, 3.051521618800461e-10, 7.784144757239560e-10, 1.126225190613994e-08, 1.559611917237838e-05, 3.184713157246132e-08, 1.060781599336582e-06, 3.667410905504701e-03, 5.333817559199868e-02, 3.611261558171441e-02, 7.694680846830545e-01, 1.373970121440060e-01, 4.835989863432447e+04, 6.593336203498299e+03, 5.932638910792536e+03, 2.929027456435298e+03, 2.827824081776738e+03, 2.416372107053184e+00, 2.169308455163766e+00, 8.103992523846527e+06, -4.702511715681732e+06, 3.185759890962528e+06
129, 2.005599326776022e-01, 5.910020286019781e-02, 8.066972640638335e-12, 1.737220672321228e-11, 2.798276260056989e-10, 4.164246181659607e-07, 6.762740703100978e-10, 2.387381360484047e-08, 9.057212443809987e-05, 1.405741005378372e-03, 9.411600006812557e-04, 1.872705187225642e-02, 3.211170351955409e-03, 7.153787089694001e+01, 6.911628753323579e+01, 3.696817998243647e+05, 3.118585801888361e+04, 3.309372917265610e-10, 7.126726840911789e-10, 1.147957242771449e-08, 1.708329028536354e-05, 2.774328354181850e-08, 9.793928366348658e-07, 3.715606201075952e-03, 5.766873670121675e-02, 3.860989191134495e-02, 7.682534830237084e-01, 1.317341792130660e-01, 4.812701112824454e+04, 6.470478881504623e+03, 5.961249445579980e+03, 2.934750160333299e+03, 2.835407782991239e+03, 2.439192589406628e+00, 2.158776749856395e+00, 8.585970597014694e+06, -5.504786402981576e+06, 3.824381385491418e+06
130, 2.011739242584307e-01, 5.971370569765253e-02, 8.812797730349702e-12, 1.608685297357433e-11, 2.871454654389922e-10, 4.588211170459588e-07, 5.961570213133812e-10, 2.213262142375683e-08, 9.309717506902253e-05, 1.535955438501461e-03, 1.016386199469563e-03, 1.893729175974022e-02, 3.106721500478191e-03, 7.250353045289143e+01, 7.020802501812193e+01, 3.751165541459838e+05, 3.156031807070794e+04, 3.569388947528040e-10, 6.515551242784089e-10, 1.163006212137429e-08, 1.858332704535281e-05, 2.414575198451517e-08, 8.964228694109055e-07, 3.770653065065479e-03, 6.220978324740412e-02, 4.116601535415849e-02, 7.670045537360624e-01, 1.258294780630867e-01, 4.807076608288845e+04, 6.355848512821201e+03, 5.982141306150152e+03, 2.936562351409421e+03, 2.843589019006255e+03, 2.459363353360969e+00, 2.156233220352984e+00, 9.812832311117267e+06, -6.869852387456431e+06, 4.953412258228078e+06
131, 2.017879158392583e-01, 6.032720853510635e-02, 9.494936985240159e-12, 1.485329528850417e-11, 2.906074347200652e-10, 4.976543937210521e-07, 5.274463054154505e-10, 2.048069816375676e-08, 9.525350770494162e-05, 1.661385644946076e-03, 1.088541181140429e-03, 1.914607068325935e-02, 3.007828376763926e-03, 7.344251872279591e+01, 7.126865056066211e+01, 3.804104034779089e+05, 3.182496241456994e+04, 3.798035810102159e-10, 5.941413565087881e-10, 1.162448413785672e-08, 1.990649554963242e-05, 2.109819116217433e-08, 8.192410877793120e-07, 3.810201519647680e-03, 6.645649343122274e-02, 4.354234675984717e-02, 7.658551309061358e-01, 1.203150679498890e-01, 4.808458842118011e+04, 6.256141003180261e+03, 5.987087922344839e+03, 2.937747944266340e+03, 2.850791820818025e+03, 2.476881119447021e+00, 2.156858298082557e+00, 9.680983472791595e+06, -7.102095707011706e+06, 5.318152599057076e+06
132, 2.024019074200850e-01, 6.094071137255926e-02, 1.013999718753034e-11, 1.368967101188841e-11, 2.919174739178344e-10, 5.344148159572761e-07, 4.675161312009092e-10, 1.887619547107334e-08, 9.722361864241461e-05, 1.786267767281223e-03, 1.159979245428065e-03, 1.934661792609347e-02, 2.907539777394866e-03, 7.431108709116812e+01, 7.231857231737426e+01, 3.854980380960542e+05, 3.199148900058333e+04, 4.008191981364235e-10, 5.411325916820068e-10, 1.153906906026019e-08, 2.112463288132236e-05, 1.848022611428664e-08, 7.461482870908700e-07, 3.843106871084371e-03, 7.060854168865682e-02, 4.585227613072050e-02, 7.647433959177650e-01, 1.149307776493580e-01, 4.811470661492751e+04, 6.164339852920683e+03, 5.980341721200994e+03, 2.937408146143907e+03, 2.858646963163585e+03, 2.493000938190538e+00, 2.158220311641280e+00, 8.922957665490828e+06, -6.690418173220534e+06, 5.116776969911902e+06
133, 2.030158990009110e-01, 6.155421421001157e-02, 1.067738276364176e-11, 1.258963769524257e-11, 2.900712473540894e-10, 5.651679386093880e-07, 4.165489354606296e-10, 1.740950971304252e-08, 9.859087028743705e-05, 1.899887370456289e-03, 1.225284715752342e-03, 1.951972694555438e-02, 2.813571031726545e-03, 7.507738324901698e+01, 7.324131664330561e+01, 3.899314102883886e+05, 3.204225429431872e+04, 4.177764845190981e-10, 4.925977361790894e-10, 1.134968640370520e-08, 2.211345980394577e-05, 1.629840886471692e-08, 6.811860102910910e-07, 3.857588334719906e-03, 7.433734316561512e-02, 4.794200530349840e-02, 7.637529797896854e-01, 1.100872602021973e-01, 4.812852969144259e+04, 6.084315011314476e+03, 5.962688811638446e+03, 2.937570557784275e+03, 2.865730344797906e+03, 2.507560884963885e+00, 2.158845422755004e+00, 7.626456194597491e+06, -5.764498556163907e+06, 4.477483943136506e+06
134, 2.036298905817386e-01, 6.216771704746538e-02, 1.115528190372062e-11, 1.157792533599855e-11, 2.868898148713648e-10, 5.925857744563897e-07, 3.724685865141647e-10, 1.603337295890074e-08, 9.973776871948215e-05, 2.010193924195968e-03, 1.288763812877239e-03, 1.968263089355663e-02, 2.720892503340677e-03, 7.578689571543474e+01, 7.412698298557036e+01, 3.941153418823215e+05, 3.202972715664463e+04, 4.323278756714736e-10, 4.487076085029922e-10, 1.111854144840137e-08, 2.296592333882827e-05, 1.443518452978920e-08, 6.213804483827599e-07, 3.865381264845029e-03, 7.790595311136762e-02, 4.994661060763090e-02, 7.628090509302983e-01, 1.054493903473094e-01, 4.814706961726927e+04, 6.010764217671980e+03, 5.938506140434464e+03, 2.937154606327015e+03, 2.872823955564800e+03, 2.521048930285505e+00, 2.159683840575323e+00, 6.897533012330090e+06, -5.237730815663745e+06, 4.100736621807457e+06
135, 2.042438821625666e-01, 6.278121988491957e-02, 1.152894206146570e-11, 1.065968315789998e-11, 2.819060311946644e-10, 6.141606148257219e-07, 3.354471820243907e-10, 1.481911728354028e-08, 1.004304600297091e-04, 2.109117742590472e-03, 1.346314543000973e-03, 1.982773589239423e-02, 2.637172252185698e-03, 7.643838319910525e+01, 7.490977274627409e+01, 3.978410719597463e+05, 3.196173210363057e+04, 4.430561705265530e-10, 4.096506317566775e-10, 1.083362254433675e-08, 2.360213527331439e-05, 1.289120398812685e-08, 5.694972981236836e-07, 3.859533232776611e-03, 8.105319857101813e-02, 5.173874259806834e-02, 7.619780451545821e-01, 1.013462842334500e-01, 4.816768525721407e+04, 5.947190622813801e+03, 5.909499621231195e+03, 2.937519952904616e+03, 2.878775595456424e+03, 2.533108176528929e+00, 2.160616126932270e+00, 7.321513627010218e+06, -5.648979414271264e+06, 4.436482471785457e+06
136, 2.048578737433964e-01, 6.339472272237563e-02, 1.184944715059370e-11, 9.835684580904899e-12, 2.764800549431129e-10, 6.327393118440651e-07, 3.035210651419574e-10, 1.370234146542054e-08, 1.010242117173236e-04, 2.205098815542350e-03, 1.402332469145847e-03, 1.997074414099301e-02, 2.556439313212031e-03, 7.706923096065434e+01, 7.567757311769358e+01, 4.014834929869824e+05, 3.187460786810819e+04, 4.516434663551880e-10, 3.748886021128497e-10, 1.053807901800076e-08, 2.411695435817287e-05, 1.156875120251193e-08, 5.222668127866953e-07, 3.850553075256877e-03, 8.404767412776443e-02, 5.345011368869870e-02, 7.611879267362044e-01, 9.743907021754245e-02, 4.820841755755585e+04, 5.888795263974765e+03, 5.878203190382051e+03, 2.937505368649583e+03, 2.884462119948846e+03, 2.544183092526373e+00, 2.162458134650552e+00, 6.206196577816626e+06, -4.883814689034619e+06, 3.937323090270227e+06
137, 2.054718653242259e-01, 6.400822555983141e-02, 1.208792122478205e-11, 9.105393785115919e-12, 2.702920618023750e-10, 6.467011518288918e-07, 2.767461518297790e-10, 1.273200631192546e-08, 1.013416556691457e-04, 2.291387406999941e-03, 1.453278515208193e-03, 2.010438352339903e-02, 2.484911701653612e-03, 7.766987123072261e+01, 7.637759214324846e+01, 4.048506207543754e+05, 3.177411282490202e+04, 4.572529214940075e-10, 3.444320849032257e-10, 1.022440770563536e-08, 2.446293167439402e-05, 1.046854823780275e-08, 4.816168946131620e-07, 3.833477010815988e-03, 8.667690388131175e-02, 5.497354213899597e-02, 7.604937135149096e-01, 9.399739741075676e-02, 4.826376530240561e+04, 5.838335784448264e+03, 5.846113968104361e+03, 2.938038300539275e+03, 2.889154925379472e+03, 2.554004887119834e+00, 2.164961086174217e+00, 4.195200870803040e+06, -3.358198618063945e+06, 2.895928258826616e+06
138, 2.060858569050542e-01, 6.462172839728597e-02, 1.230197207926506e-11, 8.465671456703053e-12, 2.645443594530720e-10, 6.592528159343773e-07, 2.536138653753141e-10, 1.183934030365127e-08, 1.017556797254842e-04, 2.377755365593392e-03, 1.504005675408137e-03, 2.024413485447284e-02, 2.415045141806593e-03, 7.825255080000893e+01, 7.711886848782480e+01, 4.083159337077333e+05, 3.168370404509614e+04, 4.617273581381696e-10, 3.177402851659481e-10, 9.929088394412821e-09, 2.474359875678682e-05, 9.518836434714863e-09, 4.443634959729349e-07, 3.819174752834296e-03, 8.924379735056949e-02, 5.644953204710083e-02, 7.598189008982866e-01, 9.064338676156361e-02, 4.835339893167416e+04, 5.791370128201271e+03, 5.814273938728733e+03, 2.937036705631963e+03, 2.894486443316295e+03, 2.562870040764385e+00, 2.169014523754345e+00, 4.450897478400492e+06, -3.648837744223584e+06, 3.097263742490429e+06
139, 2.066998484858817e-01, 6.523523123473965e-02, 1.245103791060412e-11, 7.862548322459774e-12, 2.581856551707761e-10, 6.681955521242377e-07, 2.328873141847079e-10, 1.101292527353714e-08, 1.018733496056199e-04, 2.457203801053607e-03, 1.550644461304941e-03, 2.036483809030629e-02, 2.348629957488649e-03, 7.875000591203622e+01, 7.780066101111719e+01, 4.113593311758335e+05, 3.156155805928312e+04, 4.641775477799874e-10, 2.931176039961116e-10, 9.625220415325638e-09, 2.491048337089791e-05, 8.682092463573596e-09, 4.105643789744662e-07, 3.797861828353845e-03, 9.160512103150338e-02, 5.780838101168578e-02, 7.592058327638809e-01, 8.755746325221829e-02, 4.840380268775395e+04, 5.747257912333091e+03, 5.781793786130792e+03, 2.935818274296370e+03, 2.900426478747284e+03, 2.571671536287812e+00, 2.171293896805962e+00, 3.057264198622833e+06, -2.200506524029653e+06, 1.832092807375358e+06
140, 2.073138400667077e-01, 6.584873407219195e-02, 1.248470861997512e-11, 7.262318953222792e-12, 2.499644213318823e-10, 6.707615849515463e-07, 2.138857041363329e-10, 1.027491447825968e-08, 1.012818518001368e-04, 2.520321640864193e-03, 1.588694220509779e-03, 2.044829239547849e-02, 2.291971708063974e-03, 7.916742123946818e+01, 7.829852961538759e+01, 4.135791890896795e+05, 3.138604835521347e+04, 4.632331230122524e-10, 2.694613700178748e-10, 9.274689787333548e-09, 2.488796440924645e-05, 7.936023635844019e-09, 3.812408336733391e-07, 3.757965839809485e-03, 9.351411396377560e-02, 5.894697326782526e-02, 7.587142507651149e-01, 8.504140901482388e-02, 4.836714395749860e+04, 5.706963103453584e+03, 5.748366739916002e+03, 2.937431132586454e+03, 2.905191743359695e+03, 2.581088595079960e+00, 2.169636105237448e+00, 2.903703647584924e+06, -1.899799506067628e+06, 1.491538802563686e+06
141, 2.079278316475338e-01, 6.646223690964426e-02, 1.249591465968780e-11, 6.750623654563429e-12, 2.421940185623613e-10, 6.719938503481821e-07, 1.979400245809784e-10, 9.647689518162989e-09, 1.007693556813884e-04, 2.579809449680169e-03, 1.624963010242166e-03, 2.054570806664028e-02, 2.243404805037643e-03, 7.963225781533122e+01, 7.881933515137410e+01, 4.160189280574053e+05, 3.125880989676099e+04, 4.611832197313302e-10, 2.491433750143604e-10, 8.938586755925392e-09, 2.480108867444612e-05, 7.305317004480484e-09, 3.560645727926071e-07, 3.719066364410927e-03, 9.521230423692223e-02, 5.997205434072003e-02, 7.582746886389076e-01, 8.279671231156173e-02, 4.839717755845885e+04, 5.672387500307768e+03, 5.717936309317178e+03, 2.938965418211921e+03, 2.908963109316057e+03, 2.589103708252850e+00, 2.170994293316992e+00, 3.522182918607865e+06, -2.489862078262921e+06, 1.855491659766338e+06
