"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
4155, 2.418089104840787e-01, 1.003163460721834e-01, 1.446957413373159e-12, 2.591564349503922e-15, 2.822364910787136e-12, 7.885101181780649e-08, 2.839463079455374e-13, 8.844400286727045e-11, 8.807294783218781e-06, 1.886923446402044e-03, 1.042851568139712e-03, 1.190039354119867e-02, 8.521295479955095e-04, 5.069413848006320e+01, 5.079116107860136e+01, 2.489360714639512e+05, 1.083117636489529e+04, 2.001200553620770e+04, 3.979868343111152e+03, 4.068281130190957e+03, 3.230740100519826e+03, 3.236923355806374e+03, 3.381699095850141e+00, 8.873519379611048e-01, 9.133358632467454e+05, -2.164013668475530e+05, 1.748009761737879e+05
4254, 2.499159038598824e-01, 1.084168862010416e-01, 1.129122341602657e-12, 1.527921908309736e-15, 1.426200103532087e-12, 6.152908243129639e-08, 1.504898204413495e-13, 7.247704785695295e-11, 7.962997613559334e-06, 1.886769356485596e-03, 1.035578931113064e-03, 1.190619923789790e-02, 8.565849774783508e-04, 5.077216001836172e+01, 5.069075166259503e+01, 2.488492583602366e+05, 1.061089648769688e+04, 2.013263193418771e+04, 4.003639379801984e+03, 4.012027821278833e+03, 3.235305660876445e+03, 3.230118154294898e+03, 3.370624904491962e+00, 8.928069393787385e-01, 6.489526038594310e+05, -4.782393674619665e+05, 4.572845201019206e+05
4255, 2.469890960540022e-01, 1.054924081631355e-01, 1.207451235988888e-12, 1.686741689603635e-15, 1.737561412436671e-12, 6.579936259437154e-08, 1.782426795881902e-13, 7.501657276520362e-11, 7.966538701423172e-06, 1.867727716437492e-03, 1.027568941624233e-03, 1.178547710356684e-02, 8.468121630246842e-04, 5.027771557107686e+01, 5.023513046915230e+01, 2.464275434223725e+05, 1.052677714656178e+04, 1.985412063641932e+04, 3.988290955630698e+03, 4.017767042890048e+03, 3.236286735935456e+03, 3.233545608997975e+03, 3.379406436640199e+00, 8.802120219345040e-01, 1.052208197712778e+06, -5.478791062966427e+05, 3.279338986068310e+05
4258, 2.442914626757913e-01, 1.027969221277867e-01, 1.317015462791667e-12, 2.025013368705616e-15, 2.214674726610352e-12, 7.177102741381291e-08, 2.222929972344215e-13, 8.005921500844166e-11, 8.243300998837975e-06, 1.866192480337717e-03, 1.029182349875747e-03, 1.177281350320681e-02, 8.443921688357146e-04, 5.021414461790550e+01, 5.023317810264511e+01, 2.462520996675670e+05, 1.059239189092519e+04, 1.977721650399694e+04, 3.976493282555199e+03, 4.037198766208345e+03, 3.235260755825524e+03, 3.236487069381061e+03, 3.385355750490529e+00, 8.767342412960114e-01, 8.563694531919354e+05, -2.210823469015434e+05, 1.070174263319812e+05
4356, 2.337207809418026e-01, 9.223465476105469e-02, 2.492918099870433e-12, 1.536072527129721e-14, 8.758800484578679e-12, 1.357826731821285e-07, 1.132807991089518e-12, 2.155859367263419e-10, 1.628827767432507e-05, 2.248936339441952e-03, 1.255469820136480e-03, 1.418980362004851e-02, 1.013672798016976e-03, 5.865780937377555e+01, 6.092456797054893e+01, 2.960420581510298e+05, 1.421337774783683e+04, 2.489396648770836e+04, 4.148092984748126e+03, 4.339307369112111e+03, 3.132709252931490e+03, 3.253768932897116e+03, 3.271082071787732e+00, 1.108125370287930e+00, 1.644002768802047e+06, -8.045483903640760e+05, 6.230632138890222e+05
4392, 2.320911820755517e-01, 9.060635307162615e-02, 2.978997998737515e-12, 2.750245177759569e-14, 1.193669777597009e-11, 1.622111171186131e-07, 1.787514238645252e-12, 3.043355458190125e-10, 2.031813885647380e-05, 2.445923806561637e-03, 1.368921325715453e-03, 1.542006127449470e-02, 1.098360874721430e-03, 6.370425920494956e+01, 6.538372709317332e+01, 3.210979649966244e+05, 1.591041790735715e+04, 2.776680212883608e+04, 4.255666684821045e+03, 4.428230697084437e+03, 3.129853988244039e+03, 3.212367925831379e+03, 3.206453047940629e+00, 1.238041564068145e+00, 1.544883633233608e+06, -1.009903704680827e+06, 8.824875960350571e+05
4393, 2.305933958106166e-01, 8.910975905937840e-02, 3.323545831377835e-12, 3.916523392405655e-14, 1.443283582602843e-11, 1.809373346546580e-07, 2.344935263155875e-12, 3.741576244076537e-10, 2.323837450481994e-05, 2.569528159268962e-03, 1.440588766208566e-03, 1.619694822313365e-02, 1.152718712087600e-03, 6.692949807443119e+01, 6.813886635057217e+01, 3.369202713981452e+05, 1.702368782522692e+04, 2.958944220043992e+04, 4.316344595173455e+03, 4.484682196363730e+03, 3.130003316165100e+03, 3.186560242837052e+03, 3.170660183430119e+00, 1.320465513891157e+00, 1.825023927458565e+06, -1.330634590909821e+06, 1.163731919508902e+06
4394, 2.279497513631443e-01, 8.646821897904511e-02, 4.266345565518096e-12, 8.720590793092053e-14, 2.179468203270531e-11, 2.321220555595500e-07, 4.482962092775538e-12, 6.237327919345597e-10, 3.160558436215024e-05, 2.883524274888024e-03, 1.623877833259833e-03, 1.819977879184908e-02, 1.298336343534478e-03, 7.457257699202398e+01, 7.544334229285788e+01, 3.772967665636902e+05, 1.996767375373366e+04, 3.470531210835787e+04, 4.503411219969749e+03, 4.618678778012077e+03, 3.102361932801092e+03, 3.138587435937454e+03, 3.066793079031559e+00, 1.551816843844213e+00, 1.534492803854109e+06, -1.469461276641196e+06, 1.670234264661972e+06
4397, 2.267846657386780e-01, 8.530406077426431e-02, 4.706864525059909e-12, 1.174726942613447e-13, 2.574589231967785e-11, 2.560313374104209e-07, 5.686744349933980e-12, 7.460561035352141e-10, 3.546689848750101e-05, 3.007639027973774e-03, 1.696672602954129e-03, 1.899516801407869e-02, 1.356888879112639e-03, 7.761450561775737e+01, 7.836128104001872e+01, 3.933802981909395e+05, 2.117696386700725e+04, 3.670004549352881e+04, 4.562007990652693e+03, 4.669915452953617e+03, 3.093185888485101e+03, 3.122947273674905e+03, 3.034875402102927e+00, 1.642023246639329e+00, 1.805146146475176e+06, -2.060103565849676e+06, 2.489214660750679e+06
4398, 2.257133683504263e-01, 8.423361614933411e-02, 5.148456318032326e-12, 1.547429667722564e-13, 3.006207970128165e-11, 2.799898695053302e-07, 7.083879249963933e-12, 8.773075690435904e-10, 3.938166501517270e-05, 3.115896941399759e-03, 1.760490614800193e-03, 1.968897586936770e-02, 1.407982364459968e-03, 8.022456143156981e+01, 8.086679012727990e+01, 4.073629827415546e+05, 2.228425022693451e+04, 3.850193248372930e+04, 4.616431984683966e+03, 4.718854836422579e+03, 3.084017054349283e+03, 3.108705805711942e+03, 3.005510079296888e+00, 1.723508694688506e+00, 1.518454342424288e+06, -1.585269343739832e+06, 1.920139102362328e+06
